Time(s),Source cell ID,Destination cell ID
699.7,9,10
701.1,1,2
702.4,6,7
703.5,18,3
704.3,18,17
704.5,1,12
705.6,1,2
705.7,10,6
707.4,15,10
708.4,4,1
708.6,12,17
708.7,5,2
709.2,10,9
709.5,19,18
710.1,11,16
711.5,14,9
712.8,6,10
713.3,14,10
713.5,8,3
713.5,15,10
713.6,1,12
713.9,6,5
714.1,8,13
714.4,8,13
714.8,6,3
715.0,19,15
715.4,7,3
716.0,6,2
716.2,7,13
716.4,13,8
716.8,10,9
716.9,1,2
716.9,15,19
717.0,4,5
717.3,13,17
717.5,6,10
717.8,14,18
718.6,12,17
718.7,7,3
718.8,8,9
719.8,9,10
720.1,4,5
720.2,15,16
720.4,2,1
720.7,14,17
720.8,12,1
720.9,15,18
722.8,18,19
723.2,9,13
723.2,15,19
723.2,17,18
723.5,3,8
723.7,12,1
724.2,13,8
726.6,3,7
726.7,17,13
726.8,19,18
726.9,8,13
726.9,10,6
727.1,3,7
729.1,19,18
729.5,3,2
729.7,13,7
729.8,12,17
730.0,13,17
730.1,12,17
730.2,3,2
731.4,13,7
731.8,7,6
732.1,3,6
732.3,18,17
732.7,2,17
732.9,12,11
733.0,5,2
733.1,3,6
733.8,2,17
733.8,7,6
734.1,3,18
734.6,18,15
735.1,1,16
735.1,5,10
735.7,12,11
735.9,5,4
736.0,7,8
736.0,14,10
737.0,5,4
737.0,14,10
737.7,14,17
738.1,5,10
738.5,1,16
738.9,14,10
739.2,15,10
739.9,6,7
740.2,6,7
741.3,15,19
742.4,8,7
743.4,1,16
743.4,10,9
743.6,11,7
743.7,1,5
743.7,4,5
743.9,2,6
744.2,1,16
744.3,1,5
744.9,18,19
745.3,1,5
745.3,2,5
745.6,12,7
745.6,18,3
745.7,6,7
745.7,10,14
745.9,13,7
746.0,2,6
746.0,17,2
746.5,13,9
746.7,17,14
747.4,11,16
747.5,8,7
747.6,10,14
747.8,17,13
747.9,6,7
747.9,18,14
748.8,16,1
748.8,17,14
749.0,5,1
749.2,17,2
749.3,6,3
749.6,7,12
749.7,18,19
749.9,14,10
